latitude,longitude,city
35.771,-78.638,"Raleigh, North Carolina"
39.161921,-75.52675500000001,"Dover, Delaware"
40.269789,-76.875613,"Harrisburg, Pennsylvania"
41.766999999999996,-72.67699999999999,"Hartford, Connecticut"
43.220093,-71.549127,"Concord, New Hampshire"
44.323535,-69.765261,"Augusta, Maine"
42.659828999999995,-73.781339,"Albany, New York"
41.82355,-71.42213199999999,"Providence, Rhode Island"
42.2352,-71.0275,"Boston, Massachusetts"
44.26639,-72.57194,"Montpelier, Vermont"
40.221740999999994,-74.756138,"Trenton, New Jersey"
38.972945,-76.50115699999999,"Annapolis, Maryland"
37.54,-77.46,"Richmond, Virginia"
34.0,-81.035,"Columbia, South Carolina"
33.76,-84.39,"Atlanta, Georgia"
38.349497,-81.63329399999999,"Charleston, West Virginia"
39.962245,-83.000647,"Columbus, Ohio"
42.7335,-84.5467,"Lansing, Michigan"
39.78325,-89.650373,"Springfield, Illinois"
34.736009,-92.331122,"Little Rock, Arkansas"
32.32,-90.20700000000001,"Jackson, Mississippi"
32.361538,-86.27911800000001,"Montgomery, Alabama"
30.4518,-84.27277,"Tallahassee, Florida"
30.458090000000002,-91.140229,"Baton Rouge, Louisiana"
30.266666999999998,-97.75,"Austin, Texas"
35.482309,-97.534994,"Oklahoma City, Oklahoma"
39.04,-95.69,"Topeka, Kansas"
38.572953999999996,-92.18928299999999,"Jefferson City, Missouri"
36.165,-86.78399999999999,"Nashville, Tennessee"
38.197274,-84.86310999999999,"Frankfort, Kentucky"
39.790942,-86.147685,"Indianapolis, Indiana"
43.074721999999994,-89.38444399999999,"Madison, Wisconsin"
44.95,-93.094,"Saint Paul, Minnesota"
41.590939,-93.620866,"Des Moines, Iowa"
40.809868,-96.675345,"Lincoln, Nebraska"
46.595805,-112.02703100000001,"Helena, Montana"
43.613739,-116.237651,"Boise, Idaho"
38.555605,-121.468926,"Sacramento, California"
39.160949,-119.753877,"Carson City, Nevada"
40.7547,-111.892622,"Salt Lake City, Utah"
41.145548,-104.802042,"Cheyenne, Wyoming"
33.448457,-112.073844,"Phoenix, Arizona"
35.667231,-105.964575,"Santa Fe, New Mexico"
39.7391667,-104.984167,"Denver, Colorado"
44.367965999999996,-100.336378,"Pierre, South Dakota"
48.813342999999996,-100.779004,"Bismarck, North Dakota"
58.301935,-134.41974,"Juneau, Alaska"
47.042418,-122.893077,"Olympia, Washington"
44.931109,-123.029159,"Salem, Oregon"
21.30895,-157.82618200000002,"Honolulu, Hawaii"
